genus_name,mean,st_dev,max_diameter,min_diameter,range
ABIES,12.946052631578947,9.714886449535785,42.5,1,1
ABIES,12.946052631578947,9.714886449535785,42.5,1,42.5
ACER,10.60665991902834,8.763226904220874,317,0,0
ACER,10.60665991902834,8.763226904220874,317,0,317
AESCULUS,23.736887159533072,9.566739675439281,64,0,0
AESCULUS,23.736887159533072,9.566739675439281,64,0,64
AILANTHUS,15.875,8.644603326160587,21.5,3,3
AILANTHUS,15.875,8.644603326160587,21.5,3,21.5
ALBIZIA,6,NA,6,6,6
ALBIZIA,6,NA,6,6,6
ALNUS,17.53108108108108,8.937870416512924,40,0,0
ALNUS,17.53108108108108,8.937870416512924,40,0,40
AMELANCHIER,3.2079646017699117,1.7933217641718697,20,0,0
AMELANCHIER,3.2079646017699117,1.7933217641718697,20,0,20
ARALIA,6.8125,3.923088706618804,12,3,3
ARALIA,6.8125,3.923088706618804,12,3,12
ARAUCARIA,11.4,9.921357434007371,32,3,3
ARAUCARIA,11.4,9.921357434007371,32,3,32
ARBUTUS,18.4,10.668749796589205,33,6,6
ARBUTUS,18.4,10.668749796589205,33,6,33
BETULA,17.851265976871577,6.987232909477389,48,2,2
BETULA,17.851265976871577,6.987232909477389,48,2,48
CALOCEDRUS,11.362068965517242,13.488848934082643,66,2.25,2.25
CALOCEDRUS,11.362068965517242,13.488848934082643,66,2.25,66
CARPINUS,9.334240440923184,7.654591355522652,86,0,0
CARPINUS,9.334240440923184,7.654591355522652,86,0,86
CASTANEA,22.87878787878788,15.989614563608901,99,3,3
CASTANEA,22.87878787878788,15.989614563608901,99,3,99
CATALPA,23.517495559502663,10.476189336055047,50.25,2,2
CATALPA,23.517495559502663,10.476189336055047,50.25,2,50.25
CEDRUS,19.225898203592813,12.765040999281204,71,1,1
CEDRUS,19.225898203592813,12.765040999281204,71,1,71
CELTIS,3.5987012987012985,1.5769254764305438,16.25,1.75,1.75
CELTIS,3.5987012987012985,1.5769254764305438,16.25,1.75,16.25
CERCIDIPHYLLUM,6.895004849660523,5.830153575024457,131,0,0
CERCIDIPHYLLUM,6.895004849660523,5.830153575024457,131,0,131
CERCIS,3.442351598173516,1.0288814190634445,10,1,1
CERCIS,3.442351598173516,1.0288814190634445,10,1,10
CHAMAECYPARIS,17.857152875175316,10.90177824894805,99,1,1
CHAMAECYPARIS,17.857152875175316,10.90177824894805,99,1,99
CHITALPA,4.1,1.9493588689617927,7.5,3,3
CHITALPA,4.1,1.9493588689617927,7.5,3,7.5
CLADRASTIS,8.535714285714286,4.086897489837122,17,3,3
CLADRASTIS,8.535714285714286,4.086897489837122,17,3,17
CLERODENDRON,5,0,5,5,5
CLERODENDRON,5,0,5,5,5
CORNUS,8.022699784017279,9.165627246894724,99,0,0
CORNUS,8.022699784017279,9.165627246894724,99,0,99
CORYLUS,9.587401574803149,6.696249745560431,36,1,1
CORYLUS,9.587401574803149,6.696249745560431,36,1,36
CRATAEGUS,6.190709109730848,3.965883059076579,34,0,0
CRATAEGUS,6.190709109730848,3.965883059076579,34,0,34
CRYPTOMERIA,8.985294117647058,5.255555533964819,22,2,2
CRYPTOMERIA,8.985294117647058,5.255555533964819,22,2,22
CUPRESSOCYPARIS   X,37.25,16.617009357883866,49,25.5,25.5
CUPRESSOCYPARIS   X,37.25,16.617009357883866,49,25.5,49
DAVIDIA,4.831920903954802,2.394729234661955,20,2,2
DAVIDIA,4.831920903954802,2.394729234661955,20,2,20
EUCALYPTUS,1.5,0.7071067811865476,2,1,1
